con_uncon,log_diversity,phosphatase_activity
uncon,3.608809242675524,1370.7355157374
uncon,2.700439718141092,1057.5735517977
uncon,2.655351828612554,1221.9167474027
uncon,1.925999418556223,1098.9734839046
uncon,0.765534746362977,682.3728637508
uncon,3.786596361890807,1216.7102189698
uncon,1,804.1862923394
uncon,0,823.027993541
uncon,3.548436624696042,1664.6929883946
uncon,2.4059923596758366,954.6058087648
uncon,1.8073549220576042,803.7045523288
uncon,2.786596361890807,1306.9441602206
uncon,0,505.4625648715
uncon,1,947.8894137186
uncon,1,829.9318300818
uncon,0,846.9231332398
uncon,1.925999418556223,1091.5591730193
uncon,3.678071905112638,1266.6617951432
uncon,2,1125.6298703657
uncon,5.104336659814735,1389.3450697423
uncon,1.84799690655495,1118.9922539119
uncon,1,996.9101347003
uncon,5.0916998341368105,1156.0701023494
uncon,0,715.8238969774
uncon,0,868.4915093564
uncon,1.84799690655495,1052.7228283292
uncon,0.6780719051126377,1072.2579357015
uncon,2,1318.1930302351
uncon,3.8972404255747994,1431.9439330526
uncon,2.655351828612554,1323.6958396363
uncon,0,927.483078709
uncon,2.608809242675524,1226.7879468818
uncon,0,822.0853576598
uncon,1.765534746362977,1349.575898643
uncon,2.6322682154995127,1268.6342845076
uncon,3.584962500721156,1423.3013557997
uncon,1,1252.0649797476
uncon,1,1288.8891517384
uncon,2.807354922057604,1319.453853449
uncon,3.584962500721156,1558.5420043966
uncon,0,1106.8934693959
uncon,1,965.6119849156
uncon,1.9634741239748859,1190.8555344172
uncon,2.7441610955704103,1136.7602164097
uncon,2.560714954474479,1307.114645052
uncon,0,1232.4797168917
uncon,2.560714954474479,1344.4796989023
uncon,1,949.2915061032
uncon,3.608809242675524,1288.3307236403
uncon,1.9634741239748859,1218.5911284908
uncon,0,1223.6389871858
uncon,1.8875252707415875,1556.7963112993
uncon,5.137503523749935,1307.8541436493
uncon,3.3923174227787602,1356.4682211953
uncon,0,913.6898088924
uncon,1,1149.9070954856
uncon,2.350497247084133,1177.7740725172
uncon,0.925999418556223,1009.3984640691
uncon,3.596935142387232,1500.8623505845
uncon,1.765534746362977,1636.7420259378
uncon,3.4195388915137843,1352.0529437694
uncon,5.112700132749362,1264.8502401314
uncon,3.817623257511431,1024.3025991003
uncon,1.765534746362977,1085.1567954591
uncon,2.963474123974886,1024.1494424484
uncon,1.4329594072761063,1139.3706609823
uncon,2.807354922057604,666.1870721713
uncon,0,890.4472138128
uncon,2.84799690655495,1240.1559049528
uncon,1.9634741239748859,821.2487707652
uncon,0,727.2506192725
uncon,0,794.8284533858
uncon,1,1003.9351035332
uncon,1,916.2709700717
uncon,2.765534746362977,708.0676059998
uncon,1,539.9307220379
uncon,3.4195388915137843,1345.834472023
uncon,3.4195388915137843,972.7857444602
uncon,0.925999418556223,1013.7929143174
uncon,1.632268215499513,824.0403652544
con,3.608809242675524,1370.7355157374
con,2.700439718141092,1057.5735517977
con,3.786596361890807,1216.7102189698
con,3.548436624696042,1664.6929883946
con,3.678071905112638,1266.6617951432
con,5.104336659814735,1389.3450697423
con,5.0916998341368105,1156.0701023494
con,3.8972404255747994,1431.9439330526
con,3.584962500721156,1423.3013557997
con,3.584962500721156,1558.5420043966
con,2.7441610955704103,1136.7602164097
con,2.560714954474479,1307.114645052
con,3.608809242675524,1288.3307236403
con,1.8875252707415875,1556.7963112993
con,5.137503523749935,1307.8541436493
con,3.3923174227787602,1356.4682211953
con,3.596935142387232,1500.8623505845
con,3.4195388915137843,1352.0529437694
con,5.112700132749362,1264.8502401314
con,3.817623257511431,1024.3025991003
con,2.765534746362977,708.0676059998
con,3.4195388915137843,1345.834472023
con,3.4195388915137843,972.7857444602
