Ref,Richness,Plot_ID,Trmt,LRnet,LRtrans
Dimitrakopoulos & Schmid 2004,6,D11,LARGE,-0.29,-1.37
Dimitrakopoulos & Schmid 2004,6,D14,LARGE,-0.13,-1.20
Dimitrakopoulos & Schmid 2004,6,D15,LARGE,-0.11,-0.72
Dimitrakopoulos & Schmid 2004,6,D16,LARGE,-0.10,-0.69
Dimitrakopoulos & Schmid 2004,6,D17,LARGE,0.16,-0.43
Dimitrakopoulos & Schmid 2004,6,D20,LARGE,0.35,-0.27
Dimitrakopoulos & Schmid 2004,6,D18,LARGE,0.19,-0.69
Dimitrakopoulos & Schmid 2004,6,D19,LARGE,0.20,-0.68
Dimitrakopoulos & Schmid 2004,6,D12,LARGE,-0.18,-1.37
Dimitrakopoulos & Schmid 2004,6,D13,LARGE,-0.15,-1.34
Dimitrakopoulos & Schmid 2004,3,D4,LARGE,-0.25,-0.67
Dimitrakopoulos & Schmid 2004,3,D8,LARGE,0.02,-0.40
Dimitrakopoulos & Schmid 2004,3,D2,LARGE,-0.66,-1.36
Dimitrakopoulos & Schmid 2004,3,D3,LARGE,-0.35,-1.05
Dimitrakopoulos & Schmid 2004,3,D6,LARGE,-0.10,-0.45
Dimitrakopoulos & Schmid 2004,3,D7,LARGE,-0.08,-0.43
Dimitrakopoulos & Schmid 2004,3,D1,LARGE,-0.85,-1.74
Dimitrakopoulos & Schmid 2004,3,D10,LARGE,0.26,-0.02
Dimitrakopoulos & Schmid 2004,3,D5,LARGE,-0.18,-1.07
Dimitrakopoulos & Schmid 2004,3,D9,LARGE,0.05,-0.23
Dimitrakopoulos & Schmid 2004,6,D34,MED,0.20,-0.55
Dimitrakopoulos & Schmid 2004,6,D39,MED,0.32,-0.44
Dimitrakopoulos & Schmid 2004,6,D32,MED,-0.27,-0.94
Dimitrakopoulos & Schmid 2004,6,D36,MED,0.24,-0.49
Dimitrakopoulos & Schmid 2004,6,D38,MED,0.25,-0.41
Dimitrakopoulos & Schmid 2004,6,D40,MED,0.42,-0.31
Dimitrakopoulos & Schmid 2004,6,D35,MED,0.24,-0.37
Dimitrakopoulos & Schmid 2004,6,D37,MED,0.25,-0.35
Dimitrakopoulos & Schmid 2004,6,D31,MED,-0.28,-1.13
Dimitrakopoulos & Schmid 2004,6,D33,MED,-0.04,-0.89
Dimitrakopoulos & Schmid 2004,3,D21,MED,-0.48,-1.15
Dimitrakopoulos & Schmid 2004,3,D29,MED,0.32,-0.35
Dimitrakopoulos & Schmid 2004,3,D24,MED,0.04,-0.48
Dimitrakopoulos & Schmid 2004,3,D25,MED,0.05,-0.47
Dimitrakopoulos & Schmid 2004,3,D27,MED,0.17,-0.09
Dimitrakopoulos & Schmid 2004,3,D30,MED,0.35,0.08
Dimitrakopoulos & Schmid 2004,3,D22,MED,-0.07,-0.42
Dimitrakopoulos & Schmid 2004,3,D23,MED,0.01,-0.34
Dimitrakopoulos & Schmid 2004,3,D26,MED,0.11,-0.62
Dimitrakopoulos & Schmid 2004,3,D28,MED,0.17,-0.57
Dimitrakopoulos & Schmid 2004,6,D53,SMALL,0.01,-0.67
Dimitrakopoulos & Schmid 2004,6,D60,SMALL,0.69,0.02
Dimitrakopoulos & Schmid 2004,6,D52,SMALL,-0.13,-0.74
Dimitrakopoulos & Schmid 2004,6,D55,SMALL,0.13,-0.63
Dimitrakopoulos & Schmid 2004,6,D57,SMALL,0.23,-0.38
Dimitrakopoulos & Schmid 2004,6,D59,SMALL,0.63,-0.14
Dimitrakopoulos & Schmid 2004,6,D56,SMALL,0.15,-0.46
Dimitrakopoulos & Schmid 2004,6,D58,SMALL,0.33,-0.28
Dimitrakopoulos & Schmid 2004,6,D51,SMALL,-0.21,-0.99
Dimitrakopoulos & Schmid 2004,6,D54,SMALL,0.03,-0.75
Dimitrakopoulos & Schmid 2004,3,D42,SMALL,-0.26,-0.87
Dimitrakopoulos & Schmid 2004,3,D48,SMALL,0.13,-0.48
Dimitrakopoulos & Schmid 2004,3,D43,SMALL,-0.23,-0.75
Dimitrakopoulos & Schmid 2004,3,D45,SMALL,-0.16,-0.43
Dimitrakopoulos & Schmid 2004,3,D46,SMALL,-0.05,-0.32
