con_uncon,log_diversity,plant_CN
uncon,3.608809242675524,15.419
uncon,2.700439718141092,39.746
uncon,2.655351828612554,31.986
uncon,1.925999418556223,25.588
uncon,0.765534746362977,18.033
uncon,3.786596361890807,37.706
uncon,1,29.977
uncon,0,12.659
uncon,0,28.035
uncon,3.548436624696042,36.761
uncon,2.4059923596758366,14.725
uncon,1.8073549220576042,14.871
uncon,2.786596361890807,34.917
uncon,0,20.333
uncon,1,30.479
uncon,1,31.843
uncon,0,17.341
uncon,1.925999418556223,34.51
uncon,3.678071905112638,17.534
uncon,2,22.611
uncon,5.104336659814735,21.886
uncon,1.84799690655495,31.33
uncon,1,36.965
uncon,5.0916998341368105,27.916
uncon,0,17.638
uncon,0,27.31
uncon,1.84799690655495,17.988
uncon,0.6780719051126377,22.218
uncon,2,20.749
uncon,3.8972404255747994,29.651
uncon,2.655351828612554,33.944
uncon,0,25.332
uncon,2.608809242675524,38.966
uncon,0,17.745
uncon,1.765534746362977,27.212
uncon,2.6322682154995127,20.173
uncon,3.584962500721156,28.453
uncon,1,24.478
uncon,1,16.159
uncon,2.807354922057604,22.071
uncon,3.584962500721156,20.741
uncon,0,29.011
uncon,1,31.973
uncon,1.9634741239748859,44.885
uncon,2.7441610955704103,36.073
uncon,2.560714954474479,21.992
uncon,0,27.123
uncon,2.560714954474479,20.575
uncon,1,33.307
uncon,3.608809242675524,30.538
uncon,1.9634741239748859,29.744
uncon,0,11.658
uncon,1.8875252707415875,34.468
uncon,5.137503523749935,21.347
uncon,3.3923174227787602,20.547
uncon,0,29.051
uncon,1,32.881
uncon,2.350497247084133,24.508
uncon,0.925999418556223,12.636
uncon,3.596935142387232,19.263
uncon,1.765534746362977,36.307
uncon,3.4195388915137843,18.847
uncon,5.112700132749362,26.575
uncon,3.817623257511431,34.473
uncon,0,17.474
uncon,1.765534746362977,32.168
uncon,2.963474123974886,26.142
uncon,1.4329594072761063,23.88
uncon,2.807354922057604,29.638
uncon,0,10.299
uncon,2.84799690655495,24.753
uncon,1.9634741239748859,19.074
uncon,0,30.961
uncon,0,16.468
uncon,1,23.223
uncon,1,23.274
uncon,2.765534746362977,25.85
uncon,1,14.576
uncon,3.4195388915137843,24.702
uncon,3.4195388915137843,19.066
uncon,0.925999418556223,14.337
uncon,1.632268215499513,35.399
con,3.608809242675524,15.419
con,2.700439718141092,39.746
con,3.786596361890807,37.706
con,3.548436624696042,36.761
con,3.678071905112638,17.534
con,5.104336659814735,21.886
con,5.0916998341368105,27.916
con,3.8972404255747994,29.651
con,3.584962500721156,28.453
con,3.584962500721156,20.741
con,2.7441610955704103,36.073
con,2.560714954474479,21.992
con,3.608809242675524,30.538
con,1.8875252707415875,34.468
con,5.137503523749935,21.347
con,3.3923174227787602,20.547
con,3.596935142387232,19.263
con,3.4195388915137843,18.847
con,5.112700132749362,26.575
con,3.817623257511431,34.473
con,2.765534746362977,25.85
con,3.4195388915137843,24.702
con,3.4195388915137843,19.066
