con_uncon,log_diversity,soil_organic_C
uncon,3.608809242675524,2.0098810428
uncon,2.700439718141092,2.0295278892
uncon,2.655351828612554,1.8953643596
uncon,1.925999418556223,1.94078996
uncon,0.765534746362977,1.8786409001
uncon,3.786596361890807,1.9965573849
uncon,1,1.833184401
uncon,0,1.7858210383
uncon,0,1.860118
uncon,3.548436624696042,2.4198802892
uncon,2.4059923596758366,2.0177302203
uncon,1.8073549220576042,1.7926064374
uncon,2.786596361890807,1.990808804
uncon,0,1.9963133577
uncon,1,2.1939672778
uncon,1,2.1115200849
uncon,0,2.0368695788
uncon,1.925999418556223,2.1965955708
uncon,3.678071905112638,2.3870275618
uncon,2,2.1424176989
uncon,5.104336659814735,2.4630371893
uncon,1.84799690655495,2.2134049904
uncon,1,2.0650119682
uncon,5.0916998341368105,2.4869574268
uncon,0,1.8739508789
uncon,0,2.1260695836
uncon,1.84799690655495,2.5684484624
uncon,0.6780719051126377,2.5284116371
uncon,2,2.7326766355
uncon,3.8972404255747994,2.8393812808
uncon,2.655351828612554,2.1713659374
uncon,0,1.9268630458
uncon,2.608809242675524,2.3074546311
uncon,0,2.1311384573
uncon,1.765534746362977,2.5650062768
uncon,2.6322682154995127,2.5202966512
uncon,3.584962500721156,2.6920995638
uncon,1,2.5313115846
uncon,1,2.5579634398
uncon,2.807354922057604,2.64038185
uncon,3.584962500721156,2.6948278184
uncon,0,2.2211461065
uncon,1,2.0303033423
uncon,1.9634741239748859,1.9893907651
uncon,2.7441610955704103,2.1084566058
uncon,2.560714954474479,2.4736034743
uncon,0,2.5834053651
uncon,2.560714954474479,2.4180486591
uncon,1,2.3125288717
uncon,3.608809242675524,2.6943533037
uncon,1.9634741239748859,2.6168856059
uncon,0,2.8370902973
uncon,1.8875252707415875,2.4887559109
uncon,5.137503523749935,2.4098624043
uncon,3.3923174227787602,2.2591234288
uncon,0,2.1333363674
uncon,1,2.3071427557
uncon,2.350497247084133,2.4179340507
uncon,0.925999418556223,2.3807737939
uncon,3.596935142387232,2.6663213148
uncon,1.765534746362977,2.8504954607
uncon,3.4195388915137843,3.1363265129
uncon,5.112700132749362,2.4619524458
uncon,3.817623257511431,2.3845356188
uncon,0,2.0773976667
uncon,1.765534746362977,1.8107638802
uncon,2.963474123974886,2.2109701024
uncon,1.4329594072761063,2.2551311153
uncon,2.807354922057604,2.0737559462
uncon,0,1.9255496256
uncon,2.84799690655495,2.2202634208
uncon,1.9634741239748859,2.0181469823
uncon,0,1.8443599059
uncon,0,1.7027871894
uncon,1,2.0387974739
uncon,1,2.0451856186
uncon,2.765534746362977,2.0815054812
uncon,1,1.5921550571
uncon,3.4195388915137843,2.2282426136
uncon,3.4195388915137843,1.8720954141
uncon,0.925999418556223,1.7101382221
uncon,1.632268215499513,1.9602391004
con,3.608809242675524,2.0098810428
con,2.700439718141092,2.0295278892
con,3.786596361890807,1.9965573849
con,3.548436624696042,2.4198802892
con,3.678071905112638,2.3870275618
con,5.104336659814735,2.4630371893
con,5.0916998341368105,2.4869574268
con,3.8972404255747994,2.8393812808
con,3.584962500721156,2.6920995638
con,3.584962500721156,2.6948278184
con,2.7441610955704103,2.1084566058
con,2.560714954474479,2.4736034743
con,3.608809242675524,2.6943533037
con,1.8875252707415875,2.4887559109
con,5.137503523749935,2.4098624043
con,3.3923174227787602,2.2591234288
con,3.596935142387232,2.6663213148
con,3.4195388915137843,3.1363265129
con,5.112700132749362,2.4619524458
con,3.817623257511431,2.3845356188
con,2.765534746362977,2.0815054812
con,3.4195388915137843,2.2282426136
con,3.4195388915137843,1.8720954141
