con_uncon,log_diversity,log_root_biomass
uncon,3.608809242675524,2.7979577768547306
uncon,2.700439718141092,2.9610126261860605
uncon,2.655351828612554,2.3426212093852286
uncon,1.925999418556223,2.57006621706393
uncon,0.765534746362977,2.1767268404555997
uncon,3.786596361890807,2.570400647422331
uncon,1,2.375310999918855
uncon,0,2.1529987623854425
uncon,3.548436624696042,2.6723126800766632
uncon,2.4059923596758366,2.348480877115106
uncon,1.8073549220576042,2.7376558729030855
uncon,2.786596361890807,2.781104937773419
uncon,0,2.349391234388793
uncon,1,2.5858094883121012
uncon,1,2.6070167134471767
uncon,0,2.432743592135896
uncon,1.925999418556223,2.88334770981653
uncon,3.678071905112638,2.7263627490713414
uncon,2,2.6526999253457118
uncon,5.104336659814735,2.662256240451929
uncon,1.84799690655495,2.640910039332464
uncon,1,2.9426260796808874
uncon,5.0916998341368105,2.96298040200742
uncon,0,2.340461772319697
uncon,0,2.71968799703565
uncon,1.84799690655495,2.3896907461242356
uncon,0.6780719051126377,2.709327215620956
uncon,2,2.7305788853168558
uncon,3.8972404255747994,2.9532276139281888
uncon,2.655351828612554,2.5538309591963997
uncon,0,2.267432188591176
uncon,2.608809242675524,2.438536846343006
uncon,0,1.9764515147677
uncon,1.765534746362977,2.664155394404113
uncon,2.6322682154995127,2.6929606982470786
uncon,3.584962500721156,2.7930579219213016
uncon,1,2.888920799407759
uncon,1,2.4871980158582137
uncon,2.807354922057604,2.624829608620471
uncon,3.584962500721156,2.8439463186918412
uncon,0,2.499163797358411
uncon,1,2.2526665829160164
uncon,1.9634741239748859,2.58122567046724
uncon,2.7441610955704103,2.5873803454236106
uncon,2.560714954474479,2.349166089919102
uncon,0,2.774567810388021
uncon,2.560714954474479,2.7394474471709174
uncon,1,2.3475965120761124
uncon,3.608809242675524,2.9196217881820763
uncon,1.9634741239748859,3.035942530880194
uncon,0,2.073774603597398
uncon,1.8875252707415875,3.000619985355853
uncon,5.137503523749935,2.7851117191728894
uncon,3.3923174227787602,2.481095624138653
uncon,0,2.252092483060829
uncon,1,2.4249898983015896
uncon,2.350497247084133,2.698754489909053
uncon,0.925999418556223,2.4091126466828494
uncon,3.596935142387232,2.888479645281875
uncon,1.765534746362977,2.518604090647163
uncon,3.4195388915137843,2.7566346527103964
uncon,5.112700132749362,3.0137092923996582
uncon,3.817623257511431,2.7544779208216976
uncon,1.765534746362977,2.7265096148302894
uncon,2.963474123974886,2.9213103822841204
uncon,1.4329594072761063,2.6764610850038126
uncon,2.807354922057604,2.8248878705299867
uncon,0,2.48414672041995
uncon,2.84799690655495,3.0385104643829988
uncon,1.9634741239748859,2.4485278313203045
uncon,0,2.6097875791253875
uncon,0,2.2354862409017526
uncon,1,2.512501347539014
uncon,1,2.079405547286229
uncon,2.765534746362977,2.6844193461834904
uncon,1,2.7770450759518126
uncon,3.4195388915137843,2.8984478885091627
uncon,3.4195388915137843,2.931730870635085
uncon,0.925999418556223,2.443038043674531
uncon,1.632268215499513,2.570986667620463
con,3.608809242675524,2.7979577768547306
con,2.700439718141092,2.9610126261860605
con,3.786596361890807,2.570400647422331
con,3.548436624696042,2.6723126800766632
con,3.678071905112638,2.7263627490713414
con,5.104336659814735,2.662256240451929
con,5.0916998341368105,2.96298040200742
con,3.8972404255747994,2.9532276139281888
con,3.584962500721156,2.7930579219213016
con,3.584962500721156,2.8439463186918412
con,2.7441610955704103,2.5873803454236106
con,2.560714954474479,2.349166089919102
con,3.608809242675524,2.9196217881820763
con,1.8875252707415875,3.000619985355853
con,5.137503523749935,2.7851117191728894
con,3.3923174227787602,2.481095624138653
con,3.596935142387232,2.888479645281875
con,3.4195388915137843,2.7566346527103964
con,5.112700132749362,3.0137092923996582
con,3.817623257511431,2.7544779208216976
con,2.765534746362977,2.6844193461834904
con,3.4195388915137843,2.8984478885091627
con,3.4195388915137843,2.931730870635085
