con_uncon,log_diversity,soil_mc_biomass
uncon,3.608809242675524,1100.1952857384
uncon,2.700439718141092,1099.5690291217
uncon,2.655351828612554,1078.1308988502
uncon,1.925999418556223,507.9521001911
uncon,0.765534746362977,438.4397959646
uncon,3.786596361890807,655.3015252104
uncon,1,633.9990936839
uncon,0,506.9743748699
uncon,3.548436624696042,653.959478132
uncon,2.4059923596758366,460.3782829691
uncon,1.8073549220576042,546.7703012219
uncon,2.786596361890807,628.3263039556
uncon,0,704.888270445
uncon,1,551.1336320697
uncon,1,498.1002962185
uncon,0,571.8154772176
uncon,1.925999418556223,650.4781580884
uncon,3.678071905112638,795.8680331424
uncon,2,786.9935650219
uncon,5.104336659814735,851.0741526323
uncon,1.84799690655495,602.1338074128
uncon,1,627.2930192457
uncon,5.0916998341368105,758.3992555728
uncon,0,536.8087528303
uncon,0,527.0889877746
uncon,1.84799690655495,784.623678042
uncon,0.6780719051126377,915.8226880978
uncon,2,961.282881453
uncon,3.8972404255747994,891.0692311753
uncon,2.655351828612554,841.528749591
uncon,0,652.9312386328
uncon,2.608809242675524,734.5989425056
uncon,0,554.2121794797
uncon,1.765534746362977,824.8363979601
uncon,2.6322682154995127,846.3078062712
uncon,3.584962500721156,800.4402899997
uncon,1,835.2566565504
uncon,1,901.697617393
uncon,2.807354922057604,898.9475759515
uncon,3.584962500721156,1155.9747845439
uncon,0,698.2260047026
uncon,1,746.9555847529
uncon,1.9634741239748859,697.8490325269
uncon,2.7441610955704103,531.4132299324
uncon,2.560714954474479,852.886992565
uncon,0,604.9275242103
uncon,2.560714954474479,905.4473473907
uncon,1,729.0505559471
uncon,3.608809242675524,893.056765087
uncon,1.9634741239748859,843.0092976492
uncon,0,785.2851715883
uncon,1.8875252707415875,796.6053302439
uncon,5.137503523749935,689.8843006315
uncon,3.3923174227787602,727.061967904
uncon,0,900.6108390369
uncon,1,842.9917159593
uncon,2.350497247084133,724.6015324672
uncon,0.925999418556223,557.8508376363
uncon,3.596935142387232,982.1249135693
uncon,1.765534746362977,1238.9770830577
uncon,3.4195388915137843,1074.7169360214
uncon,5.112700132749362,923.6581147063
uncon,3.817623257511431,827.8329749277
uncon,1.765534746362977,695.326318908
uncon,2.963474123974886,744.7971696994
uncon,1.4329594072761063,919.149656541
uncon,2.807354922057604,588.3420068223
uncon,0,895.7342557637
uncon,2.84799690655495,745.2155097235
uncon,1.9634741239748859,691.226222982
uncon,0,514.157507578
uncon,0,521.2270614426
uncon,1,772.7826399093
uncon,1,780.4469702669
uncon,2.765534746362977,820.769354471
uncon,1,612.0610015287
uncon,3.4195388915137843,813.1982228057
uncon,3.4195388915137843,785.7429964116
uncon,0.925999418556223,615.3747463676
uncon,1.632268215499513,734.6492646092
con,3.608809242675524,1100.1952857384
con,2.700439718141092,1099.5690291217
con,3.786596361890807,655.3015252104
con,3.548436624696042,653.959478132
con,3.678071905112638,795.8680331424
con,5.104336659814735,851.0741526323
con,5.0916998341368105,758.3992555728
con,3.8972404255747994,891.0692311753
con,3.584962500721156,800.4402899997
con,3.584962500721156,1155.9747845439
con,2.7441610955704103,531.4132299324
con,2.560714954474479,852.886992565
con,3.608809242675524,893.056765087
con,1.8875252707415875,796.6053302439
con,5.137503523749935,689.8843006315
con,3.3923174227787602,727.061967904
con,3.596935142387232,982.1249135693
con,3.4195388915137843,1074.7169360214
con,5.112700132749362,923.6581147063
con,3.817623257511431,827.8329749277
con,2.765534746362977,820.769354471
con,3.4195388915137843,813.1982228057
con,3.4195388915137843,785.7429964116
